PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Braund, Mr. Owen Harris",1,-0.5657364610748746,1,0,A/5 21171,-0.5024451714361923,,2
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,0.6638610320657843,1,0,PC 17599,0.7868452935884461,C85,0
3,1,3,"Heikkinen, Miss. Laina",0,-0.2583370877897099,0,0,STON/O2. 3101282,-0.4888542575852486,,2
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,0.4333115021019107,1,0,113803,0.4207302360686478,C123,2
5,0,3,"Allen, Mr. William Henry",1,0.4333115021019107,0,0,373450,-0.4863374216869257,,2
6,0,3,"Moran, Mr. James",1,-0.10463740114712752,0,0,330877,-0.47811642890864375,,1
7,0,1,"McCarthy, Mr. Timothy J",1,1.893458525206443,0,0,17463,0.395813560675251,E46,2
8,0,3,"Palsson, Master. Gosta Leonard",1,-2.1027333275006983,3,1,349909,-0.22408312108167944,,2
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,-0.1814872444684187,0,2,347742,-0.4242561406845337,,2
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",0,-1.180535207645204,1,0,237736,-0.04295550208861426,,0
11,1,3,"Sandstrom, Miss. Marguerite Rut",0,-1.949033640858116,1,1,PP 9549,-0.312172377522981,G6,2
12,1,1,"Bonnell, Miss. Elizabeth",0,2.200857898491608,0,0,113783,-0.11384570873513637,C103,2
13,0,3,"Saundercock, Mr. William Henry",1,-0.719436147717457,0,0,A/5. 2151,-0.4863374216869257,,2
14,0,3,"Andersson, Mr. Anders Johan",1,0.7407108753870755,1,5,347082,-0.01870931177853076,,2
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,-1.180535207645204,0,0,350406,-0.4902797934380587,,2
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,1.9703083685277343,0,0,248706,-0.3262666585535892,,2
17,0,3,"Rice, Master. Eugene",1,-2.1027333275006983,4,1,382652,-0.06199888922968463,,1
18,1,2,"Williams, Mr. Charles Eugene",1,-0.10463740114712752,0,0,244373,-0.3866707201133388,,2
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,0.12591212881674602,1,0,345763,-0.2859972841804228,,2
20,1,3,"Masselmani, Mrs. Fatima",0,-0.10463740114712752,0,0,2649,-0.5029485386158568,,0
21,0,2,"Fynney, Mr. Joseph J",1,0.4333115021019107,0,0,239865,-0.12491978668775715,,2
22,1,2,"Beesley, Mr. Lawrence",1,0.35646165878061953,0,0,248698,-0.3866707201133388,D56,2
23,1,3,"McGowan, Miss. Anna ""Annie""",0,-1.1036853643239128,0,0,330923,-0.4867562231804066,,1
24,1,1,"Sloper, Mr. William Thompson",1,-0.10463740114712752,0,0,113788,0.06635974158478332,A6,2
25,0,3,"Palsson, Miss. Torborg Danira",0,-1.6416342675729512,3,1,349909,-0.22408312108167944,,2
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,0.6638610320657843,1,5,347077,-0.016444159470040135,,2
27,0,3,"Emir, Mr. Farred Chehab",1,-0.10463740114712752,0,0,2631,-0.5029485386158568,,0
28,0,1,"Fortune, Mr. Charles Alexander",1,-0.7962859910387481,3,2,19950,4.647001076532463,C23 C25 C27,2
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,-0.10463740114712752,0,0,330959,-0.48977642625839407,,1
30,0,3,"Todoroff, Mr. Lalio",1,-0.10463740114712752,0,0,349216,-0.4894421904510968,,2
31,0,1,"Uruchurtu, Don. Manuel E",1,0.8175607187083667,0,0,PC 17601,-0.09027201697708476,,0
